"COD_ESPEC","NM_ESPEC_MED","NM_PRODUTO","COD_APRES_PRD","NM_APRES_PRD","QTDE_DOSE"
181,NEURODESARROLLO ,AMOXICILINA 500MG/5ML ,11,KIT,1
160,CLIMATERIO,AMOXICILINA 500MG/5ML ,11,KIT,1
139,INFECTOLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
109,HEMATOLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
60,GASTROENTEROLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
58,MASTOLOGIA,AMOXICILINA 500MG/5ML ,11,KIT,1
57,DIABETOLOGIA,AMOXICILINA 500MG/5ML ,11,KIT,1
42,DERMATOLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
37,PEDIATRIA,AMOXICILINA 500MG/5ML ,11,KIT,1
37,PEDIATRIA,AMOXICILINA 500MG/5ML ,11,KIT,1
11,CLINICA MEDICA,AMOXICILINA 500MG/5ML ,11,KIT,1
10,GASTROENTEROLOGIA,AMOXICILINA 500MG/5ML ,11,KIT,1
6,NEFROLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
170,ESTUDIOS HEMODINAMIA ,AMOXICILINA 500MG/5ML ,11,KIT,1
204,UNIDAD DE OBSTETRICIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,3,UNIDAD,14
34,GINECOLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,3,UNIDAD,1
33,GINECO-OBSTETRICIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,3,UNIDAD,1
181,NEURODESARROLLO ,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
160,CLIMATERIO,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
139,INFECTOLOGIA PEDIATRICA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
57,DIABETOLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
42,DERMATOLOGIA PEDIATRICA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
37,PEDIATRIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
34,GINECOLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
31,OBSTETRICIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
11,CLINICA MEDICA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
11,CLINICA MEDICA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
10,GASTROENTEROLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
4,ENDOCRINOLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
170,ESTUDIOS HEMODINAMIA ,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
181,NEURODESARROLLO ,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
160,CLIMATERIO,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
139,INFECTOLOGIA PEDIATRICA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
57,DIABETOLOGIA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
42,DERMATOLOGIA PEDIATRICA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
37,PEDIATRIA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
11,CLINICA MEDICA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
11,CLINICA MEDICA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
10,GASTROENTEROLOGIA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
4,ENDOCRINOLOGIA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
170,ESTUDIOS HEMODINAMIA ,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
139,INFECTOLOGIA PEDIATRICA,PIPERACILINA + TAZOBACTAM 4G + 500MG,2,FRASCO AMPOLLA,1
47,INFECTOLOGIA,PIPERACILINA + TAZOBACTAM 4G + 500MG,2,FRASCO AMPOLLA,1
23,URGENCIAS CLINICA MEDICA,PIPERACILINA + TAZOBACTAM 4G + 500MG,2,FRASCO AMPOLLA,1
14,URGENCIAS PEDIATRICAS,PIPERACILINA + TAZOBACTAM 4G + 500MG,2,FRASCO AMPOLLA,1
199,TELESALUD HV,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
160,CLIMATERIO,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
139,INFECTOLOGIA PEDIATRICA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
89,GERIATRIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
48,TERAPIA INTENSIVA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
47,INFECTOLOGIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
37,PEDIATRIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
34,GINECOLOGIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
28,CIRUGIA GENERAL,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
21,UROLOGIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
11,CLINICA MEDICA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
199,TELESALUD HV,CEFALEXINA 500 MG/5ML.,11,KIT,2
181,NEURODESARROLLO ,CEFALEXINA 500 MG/5ML.,11,KIT,1
160,CLIMATERIO,CEFALEXINA 500 MG/5ML.,11,KIT,1
139,INFECTOLOGIA PEDIATRICA,CEFALEXINA 500 MG/5ML.,11,KIT,1
42,DERMATOLOGIA PEDIATRICA,CEFALEXINA 500 MG/5ML.,11,KIT,1
37,PEDIATRIA,CEFALEXINA 500 MG/5ML.,11,KIT,1
31,OBSTETRICIA,CEFALEXINA 500 MG/5ML.,11,KIT,20
11,CLINICA MEDICA,CEFALEXINA 500 MG/5ML.,11,KIT,1
170,ESTUDIOS HEMODINAMIA ,CEFALEXINA 500 MG/5ML.,11,KIT,2
199,TELESALUD HV,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,30
160,CLIMATERIO,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
101,MEDICINA FAMILIAR,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
97,SALUD OCUPACIONAL,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
89,GERIATRIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
69,UNIDAD DE TRANSPLANTE,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
57,DIABETOLOGIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
57,DIABETOLOGIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
55,CARDIOCIRUGIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
50,NEFROLOGIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
44,ENDOCRINOLOGIA PEDIATRICA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
34,GINECOLOGIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
33,GINECO-OBSTETRICIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
31,OBSTETRICIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
12,CARDIOLOGIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
11,CLINICA MEDICA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
6,NEFROLOGIA PEDIATRICA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
5,CARDIOLOGIA PEDIATRICA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
4,ENDOCRINOLOGIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
46,HEMODINAMIA,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
204,UNIDAD DE OBSTETRICIA,CEFIXIMA 400 MG,3,UNIDAD,10
199,TELESALUD HV,CEFIXIMA 400 MG,3,UNIDAD,20
160,CLIMATERIO,CEFIXIMA 400 MG,3,UNIDAD,20
139,INFECTOLOGIA PEDIATRICA,CEFIXIMA 400 MG,3,UNIDAD,20
86,NEUMOLOGIA PEDIATRICA,CEFIXIMA 400 MG,3,UNIDAD,20
69,UNIDAD DE TRANSPLANTE,CEFIXIMA 400 MG,3,UNIDAD,1
56,NEUMOLOGIA,CEFIXIMA 400 MG,3,UNIDAD,1
50,NEFROLOGIA,CEFIXIMA 400 MG,3,UNIDAD,1
47,INFECTOLOGIA,CEFIXIMA 400 MG,3,UNIDAD,1
34,GINECOLOGIA,CEFIXIMA 400 MG,3,UNIDAD,1
34,GINECOLOGIA,CEFIXIMA 400 MG,3,UNIDAD,20
33,GINECO-OBSTETRICIA,CEFIXIMA 400 MG,3,UNIDAD,1
31,OBSTETRICIA,CEFIXIMA 400 MG,3,UNIDAD,20
11,CLINICA MEDICA,CEFIXIMA 400 MG,3,UNIDAD,1
23,URGENCIAS CLINICA MEDICA,CEFIXIMA 400 MG,3,UNIDAD,1
23,URGENCIAS CLINICA MEDICA,CEFIXIMA 400 MG,3,UNIDAD,1
23,URGENCIAS CLINICA MEDICA,CEFIXIMA 400 MG,3,UNIDAD,1
14,URGENCIAS PEDIATRICAS,CEFIXIMA 400 MG,3,UNIDAD,1
14,URGENCIAS PEDIATRICAS,CEFIXIMA 400 MG,3,UNIDAD,1
204,UNIDAD DE OBSTETRICIA,CEFIXIMA 100 MG/5ML,11,KIT,1
199,TELESALUD HV,CEFIXIMA 100 MG/5ML,11,KIT,1
183,ONCOLOGIA PEDIATRICA,CEFIXIMA 100 MG/5ML,11,KIT,1
181,NEURODESARROLLO ,CEFIXIMA 100 MG/5ML,11,KIT,1
139,INFECTOLOGIA PEDIATRICA,CEFIXIMA 100 MG/5ML,11,KIT,1
112,CIRUGIA MINIMA INVASIVA,CEFIXIMA 100 MG/5ML,11,KIT,1
101,MEDICINA FAMILIAR,CEFIXIMA 100 MG/5ML,11,KIT,1
89,GERIATRIA,CEFIXIMA 100 MG/5ML,11,KIT,1
86,NEUMOLOGIA PEDIATRICA,CEFIXIMA 100 MG/5ML,11,KIT,1
69,UNIDAD DE TRANSPLANTE,CEFIXIMA 100 MG/5ML,11,KIT,1
60,GASTROENTEROLOGIA PEDIATRICA,CEFIXIMA 100 MG/5ML,11,KIT,1
50,NEFROLOGIA,CEFIXIMA 100 MG/5ML,11,KIT,1
47,INFECTOLOGIA,CEFIXIMA 100 MG/5ML,11,KIT,1
37,PEDIATRIA,CEFIXIMA 100 MG/5ML,11,KIT,1
34,GINECOLOGIA,CEFIXIMA 100 MG/5ML,11,KIT,1
28,CIRUGIA GENERAL,CEFIXIMA 100 MG/5ML,11,KIT,1
22,OTORRINOLARINGOLOGIA,CEFIXIMA 100 MG/5ML,11,KIT,1
21,UROLOGIA,CEFIXIMA 100 MG/5ML,11,KIT,1
11,CLINICA MEDICA,CEFIXIMA 100 MG/5ML,11,KIT,1
10,GASTROENTEROLOGIA,CEFIXIMA 100 MG/5ML,11,KIT,1
6,NEFROLOGIA PEDIATRICA,CEFIXIMA 100 MG/5ML,11,KIT,1
23,URGENCIAS CLINICA MEDICA,CEFIXIMA 100 MG/5ML,11,KIT,1
14,URGENCIAS PEDIATRICAS,CEFIXIMA 100 MG/5ML,11,KIT,1
69,UNIDAD DE TRANSPLANTE,INMUNOGLOBULINA ANTI-TIMOCITO 5-20 MG/ML INYECTABLE,2,FRASCO AMPOLLA,1
2,HEMATOLOGIA,INMUNOGLOBULINA ANTI-TIMOCITO 5-20 MG/ML INYECTABLE,2,FRASCO AMPOLLA,1
183,ONCOLOGIA PEDIATRICA,SULFAMETOXAZOL + TRIMETOPRIN 400 MG + 80 MG,2,AMPOLLA,1
139,INFECTOLOGIA PEDIATRICA,SULFAMETOXAZOL + TRIMETOPRIN 400 MG + 80 MG,2,AMPOLLA,1
69,UNIDAD DE TRANSPLANTE,SULFAMETOXAZOL + TRIMETOPRIN 400 MG + 80 MG,2,AMPOLLA,1
50,NEFROLOGIA,SULFAMETOXAZOL + TRIMETOPRIN 400 MG + 80 MG,2,AMPOLLA,1
47,INFECTOLOGIA,SULFAMETOXAZOL + TRIMETOPRIN 400 MG + 80 MG,2,AMPOLLA,1
6,NEFROLOGIA PEDIATRICA,SULFAMETOXAZOL + TRIMETOPRIN 400 MG + 80 MG,2,AMPOLLA,1
181,NEURODESARROLLO ,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
160,CLIMATERIO,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
109,HEMATOLOGIA PEDIATRICA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
101,MEDICINA FAMILIAR,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
87,REUMATOLOGIA PEDIATRICA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
86,NEUMOLOGIA PEDIATRICA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
66,NEUROLOGIA PEDIATRICA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,30
60,GASTROENTEROLOGIA PEDIATRICA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
58,MASTOLOGIA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
50,NEFROLOGIA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
42,DERMATOLOGIA PEDIATRICA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
34,GINECOLOGIA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
34,GINECOLOGIA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
22,OTORRINOLARINGOLOGIA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
21,UROLOGIA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
11,CLINICA MEDICA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
6,NEFROLOGIA PEDIATRICA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
4,ENDOCRINOLOGIA,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
177,PSIQUIATRIA INFANTIL,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,20
170,ESTUDIOS HEMODINAMIA ,NITROFURANTOINA 100 MG ,3,COMPRIMIDO,30
183,ONCOLOGIA PEDIATRICA,CLARITROMICINA 500 MG,3,UNIDAD,20
181,NEURODESARROLLO ,CLARITROMICINA 500 MG,3,UNIDAD,20
139,INFECTOLOGIA PEDIATRICA,CLARITROMICINA 500 MG,3,UNIDAD,20
101,MEDICINA FAMILIAR,CLARITROMICINA 500 MG,3,UNIDAD,1
97,SALUD OCUPACIONAL,CLARITROMICINA 500 MG,3,UNIDAD,1
89,GERIATRIA,CLARITROMICINA 500 MG,3,UNIDAD,1
86,NEUMOLOGIA PEDIATRICA,CLARITROMICINA 500 MG,3,UNIDAD,1
60,GASTROENTEROLOGIA PEDIATRICA,CLARITROMICINA 500 MG,3,UNIDAD,20
60,GASTROENTEROLOGIA PEDIATRICA,CLARITROMICINA 500 MG,3,UNIDAD,20
56,NEUMOLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,1
50,NEFROLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,1
47,INFECTOLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,20
42,DERMATOLOGIA PEDIATRICA,CLARITROMICINA 500 MG,3,UNIDAD,20
37,PEDIATRIA,CLARITROMICINA 500 MG,3,UNIDAD,1
29,PROCTOLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,1
22,OTORRINOLARINGOLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,1
11,CLINICA MEDICA,CLARITROMICINA 500 MG,3,UNIDAD,1
10,GASTROENTEROLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,20
9,ALERGIA E INMUNOLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,1
8,DERMATOLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,1
2,HEMATOLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,1
72,RADIOLOGIA,CLARITROMICINA 500 MG,3,UNIDAD,1
46,HEMODINAMIA,CLARITROMICINA 500 MG,3,UNIDAD,1
199,TELESALUD HV,AZITROMICINA 500 MG ,3,UNIDAD,30
183,ONCOLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,20
182,NUTRIOLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,20
139,INFECTOLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,20
91,TERAPIA DEL DOLOR Y MEDICINA PALIATIVA ,AZITROMICINA 500 MG ,3,UNIDAD,1
89,GERIATRIA,AZITROMICINA 500 MG ,3,UNIDAD,1
86,NEUMOLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,1
69,UNIDAD DE TRANSPLANTE,AZITROMICINA 500 MG ,3,UNIDAD,1
60,GASTROENTEROLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,1
60,GASTROENTEROLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,20
59,RADIOTERAPIA,AZITROMICINA 500 MG ,3,UNIDAD,1
56,NEUMOLOGIA,AZITROMICINA 500 MG ,3,UNIDAD,1
50,NEFROLOGIA,AZITROMICINA 500 MG ,3,UNIDAD,1
47,INFECTOLOGIA,AZITROMICINA 500 MG ,3,UNIDAD,1
43,OTORRINOLARINGOLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,1
42,DERMATOLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,20
42,DERMATOLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,1
37,PEDIATRIA,AZITROMICINA 500 MG ,3,UNIDAD,1
31,OBSTETRICIA,AZITROMICINA 500 MG ,3,UNIDAD,20
29,PROCTOLOGIA,AZITROMICINA 500 MG ,3,UNIDAD,1
22,OTORRINOLARINGOLOGIA,AZITROMICINA 500 MG ,3,UNIDAD,1
11,CLINICA MEDICA,AZITROMICINA 500 MG ,3,UNIDAD,1
10,GASTROENTEROLOGIA,AZITROMICINA 500 MG ,3,UNIDAD,1
9,ALERGIA E INMUNOLOGIA,AZITROMICINA 500 MG ,3,UNIDAD,1
8,DERMATOLOGIA,AZITROMICINA 500 MG ,3,UNIDAD,1
6,NEFROLOGIA PEDIATRICA,AZITROMICINA 500 MG ,3,UNIDAD,1
89,GERIATRIA,OXIBUTININA 10 MG.COMPRIMIDO,3,COMPRIMIDO,20
69,UNIDAD DE TRANSPLANTE,OXIBUTININA 10 MG.COMPRIMIDO,3,COMPRIMIDO,20
34,GINECOLOGIA,OXIBUTININA 10 MG.COMPRIMIDO,3,COMPRIMIDO,20
33,GINECO-OBSTETRICIA,OXIBUTININA 10 MG.COMPRIMIDO,3,COMPRIMIDO,20
31,OBSTETRICIA,OXIBUTININA 10 MG.COMPRIMIDO,3,COMPRIMIDO,20
139,INFECTOLOGIA PEDIATRICA,CLINDAMICINA 600 MG (150MG/ML),2,VIAL / AMPOLLA,1
23,URGENCIAS CLINICA MEDICA,CLINDAMICINA 600 MG (150MG/ML),2,VIAL / AMPOLLA,1
14,URGENCIAS PEDIATRICAS,CLINDAMICINA 600 MG (150MG/ML),2,VIAL / AMPOLLA,1
182,NUTRIOLOGIA PEDIATRICA,MEBENDAZOL + TIABENDAZOL 100 MG.+ 500 MG./ 5ML SUSP.ORAL,11,FRASCO,1
42,DERMATOLOGIA PEDIATRICA,MEBENDAZOL + TIABENDAZOL 100 MG.+ 500 MG./ 5ML SUSP.ORAL,11,FRASCO,1
170,ESTUDIOS HEMODINAMIA ,MEBENDAZOL + TIABENDAZOL 100 MG.+ 500 MG./ 5ML SUSP.ORAL,11,FRASCO,2
204,UNIDAD DE OBSTETRICIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,10
183,ONCOLOGIA PEDIATRICA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
181,NEURODESARROLLO ,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
160,CLIMATERIO,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
139,INFECTOLOGIA PEDIATRICA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
87,REUMATOLOGIA PEDIATRICA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
86,NEUMOLOGIA PEDIATRICA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
66,NEUROLOGIA PEDIATRICA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
57,DIABETOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
42,DERMATOLOGIA PEDIATRICA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
34,GINECOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
34,GINECOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
34,GINECOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,1
33,GINECO-OBSTETRICIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,1
31,OBSTETRICIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
22,OTORRINOLARINGOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
12,CARDIOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
11,CLINICA MEDICA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
9,ALERGIA E INMUNOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
8,DERMATOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
4,ENDOCRINOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
4,ENDOCRINOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
4,ENDOCRINOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
2,HEMATOLOGIA,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
177,PSIQUIATRIA INFANTIL,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,20
170,ESTUDIOS HEMODINAMIA ,FLUCONAZOL 100 MG - COMP./CAP. ,3,COMPRIMIDO/CAPSULA,30
199,TELESALUD HV,ACICLOVIR SUSPENSION ORAL,9,KIT,2
109,HEMATOLOGIA PEDIATRICA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
101,MEDICINA FAMILIAR,ACICLOVIR SUSPENSION ORAL,9,KIT,1
86,NEUMOLOGIA PEDIATRICA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
59,RADIOTERAPIA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
47,INFECTOLOGIA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
42,DERMATOLOGIA PEDIATRICA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
40,OFTALMOLOGIA PEDIATRICA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
37,PEDIATRIA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
25,OFTALMOLOGIA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
11,CLINICA MEDICA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
8,DERMATOLOGIA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
2,HEMATOLOGIA,ACICLOVIR SUSPENSION ORAL,9,KIT,1
183,ONCOLOGIA PEDIATRICA,ACICLOVIR SUSPENSION ORAL,10,KIT,1
139,INFECTOLOGIA PEDIATRICA,ACICLOVIR SUSPENSION ORAL,10,KIT,1
86,NEUMOLOGIA PEDIATRICA,ACICLOVIR SUSPENSION ORAL,10,KIT,1
56,NEUMOLOGIA,ACICLOVIR SUSPENSION ORAL,10,KIT,1
42,DERMATOLOGIA PEDIATRICA,ACICLOVIR SUSPENSION ORAL,10,KIT,1
21,UROLOGIA,ACICLOVIR SUSPENSION ORAL,10,KIT,1
9,ALERGIA E INMUNOLOGIA,ACICLOVIR SUSPENSION ORAL,10,KIT,1
139,INFECTOLOGIA PEDIATRICA,ACICLOVIR 250 MG INYECTABLE,2,VIAL,1
78,TERAPIA INTENSIVA NINOS,ACICLOVIR 250 MG INYECTABLE,2,VIAL,1
48,TERAPIA INTENSIVA,ACICLOVIR 250 MG INYECTABLE,2,VIAL,1
47,INFECTOLOGIA,ACICLOVIR 250 MG INYECTABLE,2,VIAL,1
2,HEMATOLOGIA,ACICLOVIR 250 MG INYECTABLE,2,VIAL,1
47,INFECTOLOGIA,GANCYCLOVIR 250 mg,3,COMPRIMIDO,20
139,INFECTOLOGIA PEDIATRICA,GANCYCLOVIR 500 MG,2,AMPOLLA,1
69,UNIDAD DE TRANSPLANTE,GANCYCLOVIR 500 MG,2,AMPOLLA,1
50,NEFROLOGIA,GANCYCLOVIR 500 MG,2,AMPOLLA,1
47,INFECTOLOGIA,GANCYCLOVIR 500 MG,2,AMPOLLA,1
6,NEFROLOGIA PEDIATRICA,GANCYCLOVIR 500 MG,2,AMPOLLA,1
181,NEURODESARROLLO ,IBUPROFENO 200 MG/5 ML,11,FCO  90-120ML,1
160,CLIMATERIO,IBUPROFENO 200 MG/5 ML,11,FCO  90-120ML,1
101,MEDICINA FAMILIAR,IBUPROFENO 200 MG/5 ML,11,FCO  90-120ML,1
91,TERAPIA DEL DOLOR Y MEDICINA PALIATIVA ,IBUPROFENO 200 MG/5 ML,11,FCO  90-120ML,1
